# 基于微软亚洲语料库统计
[字	次数	频率	累计频率]
揣	9	2e-05	0.99934
咋	9	2e-05	0.99936
烙	8	2e-05	0.99938
叨	8	2e-05	0.9994
剿	8	2e-05	0.99942
伺	8	2e-05	0.99944
翘	7	2e-05	0.99946
泌	7	2e-05	0.99948
椎	7	2e-05	0.9995
搁	7	2e-05	0.99952
捎	7	2e-05	0.99954
垛	7	2e-05	0.99956
嚼	7	2e-05	0.99958
劈	7	2e-05	0.9996
轧	6	2e-05	0.99962
缪	6	2e-05	0.99964
疟	6	2e-05	0.99966
驮	5	1e-05	0.99967
腌	5	1e-05	0.99968
搂	5	1e-05	0.99969
噌	5	1e-05	0.9997
咀	5	1e-05	0.99971
迤	4	1e-05	0.99972
褪	4	1e-05	0.99973
裳	4	1e-05	0.99974
苔	4	1e-05	0.99975
绷	4	1e-05	0.99976
眯	4	1e-05	0.99976
撇	4	1e-05	0.99977
掖	4	1e-05	0.99978
扒	4	1e-05	0.9997
呱	4	1e-05	0.99980
侥	4	1e-05	0.99981
遛	3	1e-05	0.99982
轴	3	1e-05	0.99983
蹊	3	1e-05	0.99984
苫	3	1e-05	0.99985
矜	3	1e-05	0.99986
瘪	3	1e-05	0.99987
燎	3	1e-05	0.99988
柞	3	1e-05	0.9998
拽	3	1e-05	0.9999
扁	3	1e-05	0.9999
囤	3	1e-05	0.9999
刨	3	1e-05	0.9999
阙	2	1e-05	0.9999
蜇	2	1e-05	0.9999
芥	2	1e-05	0.9999
缥	2	1e-05	0.9999
簸	2	1e-05	0.9999
枞	2	1e-05	0.9999
擂	2	1e-05	0.9999
撮	2	1e-05	0.9999
捋	2	1e-05	0.9999
偻	2	1e-05	0.9999
佣	2	1e-05	0.9999
铛	1	0.0	0.9999
踉	1	0.0	0.9999
诘	1	0.0	0.9999
蠡	1	0.0	0.9999
蛤	1	0.0	0.9999
蚌	1	0.0	0.9999
荨	1	0.0	0.9999
臊	1	0.0	0.9999
脯	1	0.0	0.9999
肋	1	0.0	0.9999
纶	1	0.0	0.9999
熨	1	0.0	0.9999
潦	1	0.0	0.9999
枸	1	0.0	0.9999
拗	1	0.0	0.9999
孱	1	0.0	0.9999
咳	1	0.0	0.9999
呛	1	0.0	0.9999
吭	1	0.0	0.9999
伧	1	0.0	0.9999
鹄	0	0.0	1.0
骠	0	0.0	1.0
馏	0	0.0	1.0
镏	0	0.0	1.0
钿	0	0.0	1.0
跐	0	0.0	1.0
趄	0	0.0	1.0
貉	0	0.0	1.0
葚	0	0.0	1.0
稽	0	0.0	1.0
桧	0	0.0	1.0
掇	0	0.0	1.0
戗	0	0.0	1.0
忪	0	0.0	1.0
圩	0	0.0	1.0
咯	0	0.0	1.0
偈	0	0.0	1.0
